stockid,open,high,low,close,histtime,volume
TSLA,212.21,214.74,207.28,212.8,2015-02-11,9769100
TSLA,193.57,203.09,193.28,202.88,2015-02-12,15649600
TSLA,202.9,205.99,200.91,203.77,2015-02-13,6191000
TSLA,205.7,205.7,201.5,204.35,2015-02-17,3979600
TSLA,204.17,206.17,202.6,204.46,2015-02-18,2713600
TSLA,205,212.44,203.75,211.71,2015-02-19,5154100
TSLA,210.78,217.6,209.81,217.11,2015-02-20,5982100
TSLA,215.66,218.2,206.33,207.34,2015-02-23,8499800
TSLA,207.29,207.29,201.7,204.11,2015-02-24,6603600
TSLA,204.94,207.14,202.58,203.76,2015-02-25,3909500
TSLA,204,211.09,202.22,207.19,2015-02-26,6472900
TSLA,206.9,208.55,202.8,203.34,2015-02-27,3882100
TSLA,202.7,203.34,195.83,197.33,2015-03-02,7922100
TSLA,196.81,200.24,195.32,199.56,2015-03-03,4432300
TSLA,199.25,202.52,197.21,202.44,2015-03-04,4222000
TSLA,202.85,206.19,200.15,200.63,2015-03-05,4877000
TSLA,199.21,200.75,192.15,193.88,2015-03-06,6712400
TSLA,194.39,194.49,188.25,190.88,2015-03-09,6736700
TSLA,188.46,193.5,187.6,190.32,2015-03-10,5579700
TSLA,191.15,196.18,191.01,193.74,2015-03-11,4974900
TSLA,193.75,194.45,189.75,191.07,2015-03-12,4149300
TSLA,188.95,191.75,187.32,188.68,2015-03-13,5434300
TSLA,192,195.91,189.8,195.7,2015-03-16,5628800
TSLA,195.43,198.71,193.94,194.73,2015-03-17,4894100
TSLA,194.96,200.88,193.11,200.71,2015-03-18,4820900
TSLA,202,204.59,194.53,195.65,2015-03-19,8475200
TSLA,197.45,198.99,195.62,198.08,2015-03-20,4269500
TSLA,198.5,200.5,197.47,199.63,2015-03-23,2631600
TSLA,201.58,203.79,199.75,201.72,2015-03-24,3649900
TSLA,198.27,198.59,192.7,194.3,2015-03-25,5730400
TSLA,193.92,194.79,189.7,190.41,2015-03-26,4128000
TSLA,189.07,189.29,181.4,185,2015-03-27,8604900
TSLA,185.85,192.25,181.8,190.57,2015-03-30,10089500
TSLA,193.53,193.76,188.41,188.77,2015-03-31,5026600
TSLA,188.7,192.3,186.05,187.59,2015-04-01,3794600
TSLA,190.23,193.23,190,191,2015-04-02,5010400
TSLA,198,207.75,197.5,203.1,2015-04-06,12455800
TSLA,202.51,205.06,201.14,203.25,2015-04-07,4347900
TSLA,208.2,210.9,205.87,207.67,2015-04-08,6303100
TSLA,208.43,210.37,206.12,210.09,2015-04-09,3800200
TSLA,209.85,211.65,209,210.9,2015-04-10,4067700
TSLA,210.44,213,209.05,209.78,2015-04-13,3758200
TSLA,208.57,209.49,205.5,207.46,2015-04-14,3026000
TSLA,207.46,209.59,206.6,207.83,2015-04-15,1952400
TSLA,207.7,209.17,206.29,206.7,2015-04-16,1659100
TSLA,204.99,206.88,203.5,206.79,2015-04-17,2469900
TSLA,206.78,207.85,203.85,205.27,2015-04-20,2559300
TSLA,205.8,210.75,204.31,209.41,2015-04-21,3432500
TSLA,212.5,221.88,211.69,219.44,2015-04-22,7863000
TSLA,218.27,221.48,217.15,218.6,2015-04-23,4411200
TSLA,220.5,220.8,218.01,218.43,2015-04-24,2427800
TSLA,222.56,238.75,222,231.55,2015-04-27,11672600
TSLA,234.75,235.5,228.03,230.48,2015-04-28,6085400
TSLA,230.05,234.97,227.63,232.45,2015-04-29,3936100
TSLA,230.39,232.89,225.17,226.05,2015-04-30,3911900
TSLA,229.94,231.77,220.41,226.03,2015-05-01,5281700
TSLA,228.18,234.73,227.11,230.51,2015-05-04,4434600
TSLA,237.76,239.5,229.13,232.95,2015-05-05,5796900
TSLA,234.1,234.47,228.2,230.43,2015-05-06,5270900
TSLA,221,237.48,220.25,236.8,2015-05-07,9455900
TSLA,235.99,238.41,233.7,236.61,2015-05-08,4668200
TSLA,236.29,242.88,235.31,239.49,2015-05-11,5672300
TSLA,240.11,246.35,238.19,244.74,2015-05-12,6363400
TSLA,247.61,248.3,242.25,243.18,2015-05-13,5440200
TSLA,244.82,244.89,241.25,244.1,2015-05-14,2895900
TSLA,243.93,249.4,242.5,248.84,2015-05-15,4527600
TSLA,247,249.9,246,248.75,2015-05-18,3353200
TSLA,248.43,251,246.15,247.14,2015-05-19,3674200
TSLA,247.13,247.74,241.37,244.35,2015-05-20,3755600
TSLA,243.03,246.62,242.36,245.62,2015-05-21,1970600
TSLA,245.38,248.6,245.01,247.73,2015-05-22,2223100
TSLA,247.68,252,246.5,247.46,2015-05-26,3498700
TSLA,248.51,249.5,245.55,247.43,2015-05-27,3408200
TSLA,247.03,251.8,245.05,251.45,2015-05-28,3647300
TSLA,251,252.87,249.43,250.8,2015-05-29,3789300
TSLA,251.41,251.6,247.47,249.45,2015-06-01,2505100
TSLA,248.92,249.4,246.3,248.35,2015-06-02,2134800
TSLA,248.2,250.72,247.01,248.99,2015-06-03,1775500
TSLA,247.5,249.3,245.71,245.92,2015-06-04,2453600
TSLA,246,249.7,245.68,249.14,2015-06-05,3022000
TSLA,250.85,258.75,250.31,256.29,2015-06-08,5017000
TSLA,255.4,257.74,254.14,256,2015-06-09,2611100
TSLA,251.9,254,248.5,250.7,2015-06-10,3454500
TSLA,253.26,254.37,250.43,251.41,2015-06-11,2044100
TSLA,250.21,253.46,250.21,250.69,2015-06-12,1422300
TSLA,249.7,251.28,246.01,250.38,2015-06-15,2186200
TSLA,250.13,253.44,249.1,253.12,2015-06-16,1984700
TSLA,252.17,264.36,252.02,260.41,2015-06-17,5512900
TSLA,262,263.46,260.02,261.89,2015-06-18,2782700
TSLA,262.4,263.8,260.1,262.51,2015-06-19,2463000
TSLA,262.15,264.4,255.69,259.79,2015-06-22,4561100
TSLA,260.32,268,258.57,267.67,2015-06-23,3870800
TSLA,266.98,267.35,263.72,265.17,2015-06-24,2412300
TSLA,266.45,271.41,265.25,268.79,2015-06-25,2849200
TSLA,268.89,269.11,266,267.09,2015-06-26,3838400
TSLA,261.95,265.95,260.7,262.02,2015-06-29,3478900
TSLA,264.8,270.92,264,268.26,2015-06-30,3086900
TSLA,271.11,272.62,267.85,269.15,2015-07-01,2101200
TSLA,280.2,282.45,273.31,280.02,2015-07-02,7163900
TSLA,278.88,281.69,276.3,279.72,2015-07-06,4121900
TSLA,275,275.2,260.77,267.88,2015-07-07,6105100
TSLA,259.32,260.8,254.31,254.96,2015-07-08,6221100
TSLA,259.08,262.95,256.79,257.92,2015-07-09,3325100
